Player Name,Shootscore,Shootscore Index
Ronnie Brewer,75.05223437574672,-4.285268100624682
Dale Davis,70.28114621080599,-4.29169794111021
Mateen Cleaves,26.700146557692605,-4.2998328067098734
Aaron Williams,108.92251017845093,-4.304287374680194
J.J. Hickson,81.14604910465634,-4.338570529692372
Linton Johnson,24.07079147179251,-4.343220708849932
Adonal Foyle,146.07810956411305,-4.357837018644118
Miles Plumlee,38.13043891547255,-4.4086507882706165
Aaron Gray,33.12758046035016,-4.453606432763172
Thomas Robinson,-6.239491106001617,-4.4927005088539245
Eddy Curry,180.78706101382687,-4.513951012223763
Andray Blatche,102.25081403278936,-4.537222156317899
Renaldo Balkman,-14.566879521600463,-4.562549397542043
Danny Fortson,53.6277426274041,-4.571861714853314
Didier Ilunga-Mbenga,16.213468186177906,-4.603342647277328
Ira Newble,89.0909684417798,-4.666605667702579
Randy Livingston,6.093879531523264,-4.686378820600151
Jason Maxiell,129.89879334109784,-4.698426863981898
Alonzo Gee,63.50636148069532,-4.706765758102992
Rudy Gobert,-19.292966995428195,-4.718225412318449
Zendon Hamilton,4.255177170639119,-4.7317139036895455
Josh Childress,56.42501942074851,-4.73407186616072
Greg Ostertag,4.686426654736993,-4.73704412365775
Eddie Gill,44.16464683911988,-4.749175993922035
Marquis Daniels,132.9670907825592,-4.77345692869244
Tyrus Thomas,54.55851060958021,-4.791154887714962
Samuel Dalembert,240.0952826910982,-4.819353655308051
Ronald Dupree,6.6277798328971285,-4.8274127886831675
Jake Tsakalidis,40.030315770705506,-4.837244147099013
Darko Miličić,82.08929222823828,-4.857063729579045
Brian Cardinal,197.84637117325832,-4.889025525617759
Luc Mbah,139.57092006685707,-4.920470829994282
Loren Woods,-5.595221640880057,-4.938812004937019
Stromile Swift,115.72245854549567,-4.942960700919175
Jerome James,74.12975206686166,-4.950273978370271
Tiago Splitter,53.94839966462016,-4.953831609013159
Royal Ivey,117.0246268981229,-5.0197583997451805
Etan Thomas,71.48143613866858,-5.082152883257768
Darrick Martin,26.82677910680691,-5.096710795879131
Theo Ratliff,156.7332096663463,-5.106322109438016
Alan Henderson,26.219776644681254,-5.121915498810608
Malik Rose,106.06827329837922,-5.138551439918386
Dikembe Mutombo,106.90760763549164,-5.1510829825675675
Josh McRoberts,125.47003943742232,-5.153734215634739
Francisco Elson,70.52032828198872,-5.1740923245032135
Udonis Haslem,305.0955090939025,-5.236277564147822
Chris Johnson,45.6506494990157,-5.240170520846884
Timofey Mozgov,80.07625060258117,-5.2424039737708705
Larry Sanders,2.07340431740552,-5.245344053395198
Melvin Ely,106.76845686638178,-5.255234874201672
Brandan Wright,154.9181585019339,-5.28557711004332
Brian Skinner,137.22322988793647,-5.332492758040541
Kenyon Martin,309.4854846239991,-5.362163799891832
Ruben Patterson,51.16924370272765,-5.365762710832211
Mikki Moore,126.00086837528893,-5.410333293946494
Kevin Ollie,91.74014303546895,-5.442838443962763
Kris Humphries,213.81725971643763,-5.451785617149256
Corey Brewer,146.40226612851134,-5.456572658066785
Steven Hunter,7.8590300132642055,-5.477002126183035
Kelvin Cato,4.120645345195818,-5.525904408455493
Chris Wilcox,125.98383710504129,-5.650129275587168
Brian Scalabrine,121.42044195089078,-5.686019417788541
Jeremy Evans,22.268447417824074,-5.6897501018271495
DeAndre Jordan,97.194249383561,-5.693245156245056
Solomon Jones,11.818948799544305,-5.7216897477334205
Earl Barron,8.436610193913012,-5.785994168814418
Scot Pollard,30.057583369066144,-5.854006883875839
Shavlik Randolph,-0.7365539782848503,-5.870555720413009
Bismack Biyombo,6.660380840605354,-5.917466222195809
Cole Aldrich,48.63007224356452,-5.972340253262164
Bo Outlaw,23.680041277213576,-5.994702790430984
Ronny Turiaf,30.93086391884653,-6.0639659012258855
Andrew Bogut,187.06944146478082,-6.149158503241297
Sean Marks,15.74074469052179,-6.217673019041113
Marcus Camby,173.322033071265,-6.249678384266956
Calvin Booth,48.96999974297296,-6.30491941378363
Ryan Bowen,4.1681618996973775,-6.384296235453033
JaVale McGee,61.08752363922836,-6.4162672814820505
Gerald Wallace,199.72448513442737,-6.4290068540356895
Ian Mahinmi,61.79061947668504,-6.478745855086406
Andrei Kirilenko,164.83295489164067,-6.5713026178040765
Jarron Collins,38.13752793029738,-6.602808619055108
Jake Voskuhl,28.844259247925073,-6.694913702082595
Andris Biedriņš,36.989640440860725,-6.747086235276219
Nenê Hilário,232.49427683328372,-6.908854675466698
Michael Ruffin,-21.720559711254552,-6.928536563653045
Joakim Noah,74.67619800317887,-6.954330156214524
Dan Gadzuric,24.148382330100155,-6.957561913159726
Ömer Aşık,-3.307537185049397,-7.043848727896032
Anthony Carter,91.70014568648575,-7.123145723176945
Ryan Hollins,26.731405653822932,-7.206568680679177
Mark Madsen,-2.1403870378257985,-7.322456537188259
Erick Dampier,85.74275286848875,-7.333539532275652
Joel Anthony,15.557484964324768,-7.4410006357998775
Chuck Hayes,47.45465954291933,-7.458323350099088
Kwame Brown,81.60503648307234,-7.475459855337464
Ronnie Price,85.69424233725503,-7.524379577180791
Eduardo Nájera,73.07657842293324,-7.534136300544027
Dahntay Jones,110.55798926350874,-7.6346904971944705
Lou Amundson,1.333418877444168,-7.7363312405796965
Jamaal Magloire,66.47114247527712,-7.767679684387857
Anderson Varejão,98.4756925676558,-8.100353846487787
Kendrick Perkins,125.85308673369673,-8.312458126724477
Nazr Mohammed,201.37275411263832,-8.355030851507523
Nick Collison,116.4317996779611,-8.509425598629253
Jason Collins,61.14863412827584,-8.7697947375427
Jared Jeffries,-20.154202072132563,-8.804876689336798
Jeff Foster,9.450134072575255,-8.855798859943581
Brendan Haywood,46.21947228526112,-9.05853315040454
DeSagana Diop,-2.481394611895489,-9.21059473965329
Zaza Pachulia,119.49875762006344,-9.214015663836971
Tony Allen,66.10562859586295,-9.53444277174308
Joel Przybilla,4.3987915350094635,-9.86122688746624
Reggie Evans,3.291303327296422,-10.058989864954306
Ben Wallace,-63.486134304699675,-10.397419873433527
Chris Andersen,0.8040541302419975,-11.756163453389636
Tyson Chandler,77.83325661401628,-11.808074709424897
